"","STATIONID","LAT","LONG","STATION"
"241","USW00003820","33.3653",-81.9636,"AUGUSTA BUSH FLD AP"
"242","USW00003822","32.1314",-81.2022,"SAVANNAH INTL AP"
"243","USW00003838","38.9833",-89.1667,"VANDALIA FAA AP"
"244","USW00003847","35.9508",-85.0814,"CROSSVILLE MEM AP"
"245","USW00003849","37.0894",-84.0689,"LONDON CORBIN AP"
"246","USW00003856","34.6442",-86.7861,"HUNTSVILLE INTNL AP"
"247","USW00003859","37.2978",-81.2036,"BLUEFIELD MERCER CO AP"
"248","USW00003860","38.3653",-82.5547,"HUNTINGTON TRI-STATE AP"
"249","USW00003868","39.4428",-87.3219,"TERRE HAUTE HULMAN RGNL AP"
"250","USW00003872","37.7836",-81.1228,"BECKLEY RALEIGH CO AP"
"251","USW00003878","31.8575",-86.0103,"TROY MUNI AP"
"252","USW00003882","30.2119",-85.6828,"PANAMA CITY BAY CO AP"
"253","USW00003887","39.8308",-88.8719,"DECATUR AP"
"254","USW00003888","33.7775",-84.5247,"ATLANTA FULTON CO AP"
"255","USW00003892","32.6161",-85.4333,"AUBURN OPELIKA AP"
"256","USW00003893","39.1431",-86.6167,"BLOOMINGTON MONROE CO AP"
"257","USW00003894","36.6169",-87.4117,"CLARKSVILLE OUTLAW AP"
"258","USW00003896","33.9667",-86.0833,"GADSDEN MUNI AP"
"259","USW00003901","32.3908",-94.7139,"LONGVIEW E TX RGNL AP"
"260","USW00003918","36.2908",-92.59,"FLIPPIN MARION CO RGNL AP"
"261","USW00003919","38.7800",-97.6444,"SALINA MUNI AP"
"262","USW00003927","32.8975",-97.0219,"DAL-FTW WSCMO AP"
"263","USW00003929","38.8439",-94.5603,"KANSAS CITY R GEBAUR AP"
"264","USW00003932","35.3567",-99.2042,"CLINTON-SHERMAN AP"
"265","USW00003935","37.2256",-89.5786,"CAPE GIRARDEAU MUNI AP"
"266","USW00003938","37.7500",-92.15,"WAYNESVILLE REGNL AP"
"267","USW00003940","32.3197",-90.0778,"JACKSON INTL AP"
"268","USW00003945","38.8169",-92.2147,"COLUMBIA RGNL AP"
"269","USW00003947","39.2975",-94.7308,"KANSAS CITY INTL AP"
"270","USW00003950","34.5578",-98.4172,"LAWTON MUNI AP"
"271","USW00003953","35.8356",-90.6442,"JONESBORO MUNI AP"
"272","USW00003954","35.5411",-97.6472,"OKLAHOMA CITY WILEY POST AP"
"273","USW00003959","36.7664",-96.0131,"BARTLESVILLE MUNI AP"
"274","USW00003960","38.5639",-90.1486,"CAHOKIA ST LOUIS DWTN AP"
"275","USW00003961","31.6167",-91.2833,"NATCHEZ ADAM CO AP"
"276","USW00003963","38.5944",-92.1567,"JEFFERSON CITY MEM AP"
"277","USW00003965","36.1625",-97.0894,"STILLWATER RGNL AP"
"278","USW00003966","38.6575",-90.6558,"ST LOUIS SPIRIT OF ST LOUIS AP"
"279","USW00003967","38.8500",-94.7394,"OLATHE JOHNSON CO EXECUTIVE AP"
"280","USW00003971","32.6781",-96.8678,"DALLAS REDBIRD AP"
"281","USW00003975","36.7697",-90.3225,"POPLAR BLUFF MUNI AP"
"282","USW00003978","36.3500",-94.2167,"BENTONVILLE MUNI AP"
"283","USW00003985","32.5650",-97.3081,"FORT WORTH SPINKS AP"
"284","USW00003991","33.2089",-97.1992,"DENTON MUNICPAL AP"
"285","USW00003994","38.7119",-93.1747,"SEDALIA MEM AP"
"286","USW00003996","32.3481",-91.03,"TALLULAH VICKSBURG RGNL AP"
"287","USW00003998","37.3281",-95.5044,"PARSONS TRI CITY AP"
"288","USW00003999","30.7406",-98.2353,"BURNET MUNI AP"
"289","USW00004110","42.7272",-114.4547,"JEROME CO AP"
"290","USW00004113","45.8258",-119.2611,"HERMISTON MUNI AP"
"291","USW00004114","44.5231",-114.2161,"CHALLIS AP"
"292","USW00004201","45.7692",-122.8636,"SCAPPOOSE IND AP"
"293","USW00004205","48.1606",-122.1589,"ARLINGTON MUNI AP"
"294","USW00004724","43.1083",-78.9381,"NIAGARA FALLS INTL AP"
"295","USW00004726","40.3150",-78.8308,"JOHNSTOWN CAMBRIA CO AP"
"296","USW00004742","44.6500",-73.4667,"PLATTSBURGH INTL AP"
"297","USW00004751","41.7983",-78.6356,"BRADFORD RGNL AP"
"298","USW00004780","42.5550",-71.7569,"FITCHBURG MUNI AP"
"299","USW00004781","40.7939",-73.1019,"ISLIP-LI MACARTHUR AP"
"300","USW00004787","41.1794",-78.8933,"DUBOIS RGNL AP"
"301","USW00004789","41.5092",-74.2644,"MONTGOMERY ORANGE CO AP"
"302","USW00004803","45.6314",-89.4825,"RHINELANDER ONEIDA CO AP"
"303","USW00004804","40.0783",-83.0783,"COLUMBUS OHIO STATE UNIV AP"
"304","USW00004808","41.7714",-88.4814,"CHICAGO AURORA MUNI AP"
"305","USW00004824","44.8500",-87.4167,"STURGEON BAY AP"
"306","USW00004825","44.2667",-88.5167,"APPLETON OUTAGAMIE AP"
"307","USW00004827","40.1333",-80.2833,"WASHINGTON CO AP"
"308","USW00004836","47.2853",-68.3072,"FRENCHVILLE NTHRN AROOSTOOK AP"
"309","USW00004838","42.1208",-87.9047,"CHICAGO PALWAUKEE AP"
"310","USW00004839","42.7464",-86.0967,"HOLLAND TULIP CITY AP"
"311","USW00004840","43.7694",-88.4908,"FOND DU LAC CO AP"
"312","USW00004841","43.7747",-87.8492,"SHEBOYGAN CO MEM AP"
"313","USW00004842","40.8733",-81.8886,"WOOSTER WAYNE CO AP"
"314","USW00004843","41.6258",-80.2122,"MEADVILLE PORT MEADVILLE AP"
"315","USW00004845","42.5953",-87.9383,"KENOSHA RGNL AP"
"316","USW00004846","41.4536",-86.9981,"VALPARAISO PORTER CO MUNI AP"
